id,date,set,song,time,location
1,12/2/1983,2,Scarlet Begonias,558,224
2,12/2/1983,2,Fire on the Mountain,473,224
3,11/3/1984,1,Ignition Sequence,30,471
4,11/3/1984,1,In the Midnight Hour,383,471
5,11/3/1984,1,Wild Child,320,471
6,11/3/1984,1,Can't You Hear Me Knocking,579,471
7,11/3/1984,1,Camel Walk,77,471
8,11/3/1984,1,Eyes of the World,1072,471
9,11/3/1984,1,Jam > Bertha > St. Stephen,819,471
10,11/3/1984,1,Whipping Post > Drums,961,471
11,12/1/1984,1,Scarlet Begonias ,374,359
12,12/1/1984,1,Fire ,260,359
13,12/1/1984,1,Fire on the Mountain ,544,359
14,12/1/1984,1,Makisupa Policeman ,563,359
15,12/1/1984,1,Slave to the Traffic Light ,426,359
16,12/1/1984,1,Spanish Flea ,364,359
17,12/1/1984,1,Don't Want You No More ,439,359
18,12/1/1984,1,Cities ,374,359
19,12/1/1984,1,Drums ,597,359
20,12/1/1984,1,Skippy the Wondermouse ,588,359
21,12/1/1984,1,Fluffhead ,384,359
22,12/1/1984,E,Eyes of the World ,809,359
23,3/4/1985,1,Anarchy ,31,241
24,3/4/1985,1,Camel Walk ,408,241
25,3/4/1985,1,Fire Up the Ganja ,916,241
26,3/4/1985,1,Skippy the Wondermouse ,741,241
27,3/4/1985,1,In the Midnight Hour ,316,241
28,5/3/1985,1,Mike's Song ,448,637
29,5/3/1985,1,Dave's Energy Guide ,300,637
30,5/3/1985,3,Scarlet Begonias ,649,637
31,5/3/1985,3,Eyes of the World ,952,637
32,5/3/1985,3,Makisupa Policeman ,440,637
33,5/3/1985,3,Run Like an Antelope ,368,637
34,5/3/1985,3,The Other One ,893,637
35,5/3/1985,E,Anarchy ,33,637
36,5/3/1985,3,Whipping Post > McGrupp and the Watchful Hosemasters ,1103,637
37,10/17/1985,1,Alumni Blues > Letter to Jimmy Page > Alumni Blues ,612,185
38,10/17/1985,1,Mike's Song ,407,185
39,10/17/1985,1,Dave's Energy Guide ,220,185
40,10/17/1985,1,Revolution ,33,185
41,10/17/1985,1,Camel Walk ,516,185
42,10/17/1985,1,Run Like an Antelope ,456,185
43,10/17/1985,1,McGrupp and the Watchful Hosemasters ,565,185
44,10/17/1985,1,Anarchy ,20,185
45,10/30/1985,1,Harry Hood,678,241
46,10/30/1985,1,Dog Log,310,241
47,10/30/1985,1,Possum,405,241
48,10/30/1985,1,Slave to the Traffic Light,391,241
49,10/30/1985,1,Sneakin' Sally Through the Alley,494,241
50,10/30/1985,1,I Wish,420,241
51,10/30/1985,1,Revival,296,241
52,10/30/1985,1,Alumni Blues,282,241
53,10/30/1985,1,Letter to Jimmy Page,69,241
54,10/30/1985,1,Alumni Blues,282,241
55,10/30/1985,1,Prep School Hippie,303,241
56,10/30/1985,1,Skippy the Wondermouse,932,241
57,11/14/1985,1,Hurricane,541,323
58,11/14/1985,1,Makisupa Policeman,302,323
59,11/14/1985,1,Piggies,150,323
60,11/14/1985,1,Makisupa Policeman,213,323
61,11/14/1985,1,Drums,102,323
62,11/23/1985,2,Mike's Song ,276,207
63,11/23/1985,2,Whipping Post ,1646,207
64,11/23/1985,2,Run Like an Antelope ,546,207
65,11/23/1985,2,Dave's Energy Guide ,222,207
66,2/3/1986,1,Slave to the Traffic Light,359,241
67,2/3/1986,1,Mike's Song,404,241
68,2/3/1986,1,Dave's Energy Guide,248,241
69,2/3/1986,1,You Enjoy Myself,609,241
70,2/3/1986,1,Alumni Blues,421,241
71,2/3/1986,1,Letter to Jimmy Page,54,241
72,2/3/1986,1,Alumni Blues,103,241
73,2/3/1986,1,Prep School Hippie,266,241
74,2/3/1986,1,Run Like an Antelope,508,241
75,4/1/1986,2,Alumni Blues > Letter to Jimmy Page > Alumni Blues,413,241
76,4/1/1986,1,Quinn the Eskimo,402,241
77,4/1/1986,1,Have Mercy,335,241
78,4/1/1986,1,Harry Hood,644,241
79,4/1/1986,1,Jazz Jam,73,241
80,4/1/1986,1,Icculus,317,241
81,4/1/1986,1,You Enjoy Myself,825,241
82,4/1/1986,2,Help on the Way,213,241
83,4/1/1986,2,Slipknot!,520,241
84,4/1/1986,2,AC/DC Bag,379,241
85,4/1/1986,2,McGrupp and the Watchful Hosemasters,446,241
86,4/1/1986,2,Dear Mrs. Reagan,373,241
87,4/1/1986,E,Not Fade Away,129,241
88,4/1/1986,1,The Pendulum > Dave's Energy Guide,440,241
89,4/15/1986,1,AC/DC Bag ,561,637
90,4/15/1986,1,Dear Mrs. Reagan ,285,637
91,4/15/1986,1,Prep School Hippie ,390,637
92,4/15/1986,1,Quinn the Eskimo ,346,637
93,4/15/1986,1,Slave to the Traffic Light ,415,637
94,4/15/1986,1,Makisupa Policeman ,397,637
95,4/15/1986,1,Have Mercy ,447,637
96,4/15/1986,1,All Blues ,190,637
97,4/15/1986,1,Dog Log ,275,637
98,4/15/1986,1,Possum ,317,637
99,4/15/1986,1,You Enjoy Myself ,625,637
100,4/15/1986,1,Anarchy ,74,637
101,4/15/1986,1,Camel Walk ,321,637
102,4/15/1986,1,Alumni Blues ,76,637
103,4/15/1986,1,Letter to Jimmy Page ,55,637
104,4/15/1986,1,Alumni Blues ,76,637
105,10/12/1986,1,Golgi Apparatus,366,227
106,10/12/1986,1,Slave to the Traffic Light,390,227
107,10/12/1986,1,Wilson,416,227
108,10/12/1986,1,Halley's Comet,468,227
109,10/12/1986,1,Possum,354,227
110,10/12/1986,1,Sneakin' Sally Through the Alley,337,227
111,10/12/1986,1,Makisupa Policeman,435,227
112,10/15/1986,1,Alumni Blues ,448,241
113,10/15/1986,1,Makisupa Policeman ,305,241
114,10/15/1986,1,Skin It Back ,408,241
115,10/15/1986,1,Cities ,316,241
116,10/15/1986,1,I Am Hydrogen ,173,241
117,10/15/1986,1,McGrupp and the Watchful Hosemasters ,479,241
118,10/15/1986,1,AC/DC Bag ,351,241
119,10/15/1986,1,You Enjoy Myself ,645,241
120,10/15/1986,1,Lushington ,352,241
121,10/15/1986,2,Peaches en Regalia ,242,241
122,10/15/1986,2,Golgi Apparatus ,286,241
123,10/15/1986,2,"Swing Low, Sweet Chariot ",110,241
124,10/15/1986,2,Camel Walk ,308,241
125,10/15/1986,2,Shaggy Dog ,262,241
126,10/15/1986,2,Mustang Sally ,356,241
127,10/15/1986,2,Fluffhead ,560,241
128,10/15/1986,2,Sneakin' Sally Through the Alley ,356,241
129,10/15/1986,2,Wilson ,118,241
130,10/15/1986,2,Slave to the Traffic Light ,402,241
131,10/15/1986,2,Quinn the Eskimo ,512,241
132,10/15/1986,2,Mike's Song ,433,241
133,10/15/1986,2,Have Mercy ,399,241
134,10/15/1986,2,Harry Hood ,567,241
135,10/15/1986,3,Roll Like a Cantaloupe ,552,241
136,10/15/1986,3,Sanity ,323,241
137,10/15/1986,3,Anarchy ,33,241
138,10/15/1986,E,Clod ,438,241
139,10/31/1986,1,Mustang Sally ,338,463
140,10/31/1986,1,Camel Walk ,388,463
141,10/31/1986,1,Golgi Apparatus ,300,463
142,10/31/1986,1,Slave to the Traffic Light ,404,463
143,10/31/1986,1,Melt the Guns ,203,463
144,10/31/1986,1,Sneakin' Sally Through the Alley ,501,463
145,10/31/1986,1,Halley's Comet ,282,463
146,10/31/1986,1,Back Porch Boogie Blues ,266,463
147,10/31/1986,1,Shaggy Dog ,261,463
148,10/31/1986,1,Fluffhead ,574,463
149,10/31/1986,2,Jam ,346,463
150,10/31/1986,2,AC/DC Bag ,356,463
151,10/31/1986,2,"Swing Low, Sweet Chariot ",134,463
152,10/31/1986,2,Peaches en Regalia ,212,463
153,10/31/1986,2,David Bowie ,619,463
154,10/31/1986,2,Have Mercy ,708,463
155,10/31/1986,2,Harry Hood ,550,463
156,10/31/1986,2,Sanity ,296,463
157,10/31/1986,2,Skin It Back ,357,463
158,10/31/1986,2,Icculus ,204,463
159,10/31/1986,2,Alumni Blues ,371,463
160,12/6/1986,1,Funky Bitch ,578,591
161,12/6/1986,1,Possum ,339,591
162,12/6/1986,1,Peaches en Regalia ,241,591
163,12/6/1986,1,Makisupa Policeman ,572,591
164,12/6/1986,1,Fluffhead ,719,591
165,12/6/1986,2,I Know a Little ,223,591
166,12/6/1986,2,Golgi Apparatus ,312,591
167,12/6/1986,2,Slave to the Traffic Light ,428,591
168,12/6/1986,2,Shaggy Dog ,290,591
169,12/6/1986,2,Light Up Or Leave Me Alone ,531,591
170,12/6/1986,2,Camel Walk ,379,591
171,12/6/1986,2,Jam ,376,591
172,12/6/1986,2,"Swing Low, Sweet Chariot ",317,591
173,12/6/1986,2,Back Porch Boogie Blues ,405,591
174,12/6/1986,2,Icculus ,123,591
175,12/6/1986,2,Good Times Bad Times ,211,591
176,12/6/1986,2,Skin It Back ,404,591
177,12/6/1986,2,Cities ,213,591
178,12/6/1986,3,Mike's Song ,514,591
179,12/6/1986,3,The Little Drummer Boy ,234,591
180,12/6/1986,3,Whipping Post ,737,591
181,12/6/1986,3,She Caught the Katy and Left Me a Mule to Ride ,248,591
182,12/6/1986,3,AC/DC Bag ,352,591
183,12/6/1986,3,David Bowie ,231,591
184,12/6/1986,3,Clod ,405,591
185,12/6/1986,3,David Bowie ,231,591
186,12/6/1986,3,You Enjoy Myself ,653,591
187,12/6/1986,3,Dog Log ,271,591
188,12/6/1986,3,Tush ,210,591
189,12/6/1986,3,Sneakin' Sally Through the Alley ,395,591
190,12/6/1986,3,Prep School Hippie ,328,591
191,2/13/1987,1,Sneakin' Sally Through the Alley,358,257
192,2/13/1987,1,Possum,451,257
193,2/13/1987,1,Golgi Apparatus,311,257
194,2/13/1987,1,Slave to the Traffic Light,138,257
195,2/13/1987,1,Quinn the Eskimo,367,257
196,2/13/1987,1,Alumni Blues,89,257
197,2/13/1987,1,Letter to Jimmy Page,84,257
198,2/13/1987,1,Alumni Blues,89,257
199,2/13/1987,1,Suzy Greenberg,557,257
200,2/13/1987,1,Sanity,369,257
201,2/13/1987,1,Good Times Bad Times,266,257
202,2/13/1987,2,Wilson,380,257
203,2/13/1987,2,Melt the Guns,500,257
204,2/13/1987,2,Dave's Energy Guide,131,257
205,2/13/1987,2,Fluffhead,500,257
206,2/13/1987,2,Harry Hood,584,257
207,2/21/1987,2,Fluffhead,583,471
208,2/21/1987,2,Alumni Blues > Letter to Jimmy Page > Alumni Blues,398,471
209,2/21/1987,2,Fire,232,471
210,2/21/1987,2,Suzy Greenberg,423,471
211,2/21/1987,2,Dear Mrs. Reagan,217,471
212,2/21/1987,2,Camel Walk,390,471
213,2/21/1987,2,Back Porch Boogie Blues,510,471
214,2/21/1987,2,Blue Monk,188,471
215,2/21/1987,2,Clod,306,471
216,2/21/1987,2,Lushington,366,471
217,2/21/1987,2,Peaches en Regalia,208,471
218,2/21/1987,2,"Swing Low, Sweet Chariot",170,471
219,2/21/1987,2,Boogie On Reggae Woman,317,471
220,2/21/1987,2,Ya Mar,395,471
221,2/21/1987,2,Corinna,385,471
222,2/21/1987,2,Dog Log,301,471
223,3/6/1987,1,Funky Bitch ,415,207
224,3/6/1987,1,Good Times Bad Times ,275,207
225,3/6/1987,1,Corinna ,254,207
226,3/6/1987,1,Golgi Apparatus ,318,207
227,3/6/1987,1,Quinn the Eskimo ,546,207
228,3/6/1987,1,Sneakin' Sally Through the Alley ,332,207
229,3/6/1987,2,Free Bird ,461,207
230,3/6/1987,2,Happy Birthday to You ,135,207
231,3/6/1987,2,Harry Hood ,528,207
232,3/6/1987,2,Tell Me Something Good ,303,207
233,3/6/1987,2,Possum ,497,207
234,3/6/1987,2,Freeworld ,219,207
235,3/6/1987,2,Wilson ,232,207
236,3/23/1987,1,Funky Bitch ,380,359
237,3/23/1987,1,Mike's Song ,345,359
238,3/23/1987,1,Alumni Blues > Letter to Jimmy Page > Alumni Blues ,510,359
239,3/23/1987,1,You Enjoy Myself ,659,359
240,3/23/1987,1,Sparks ,145,359
241,3/23/1987,2,Fluffhead ,540,359
242,3/23/1987,2,Peaches en Regalia ,209,359
243,3/23/1987,2,Ride Captain Ride ,366,359
244,3/23/1987,2,Dave's Energy Guide ,238,359
245,3/23/1987,2,Corinna ,248,359
246,3/23/1987,2,Why Don't You Love Me? ,450,359
247,3/23/1987,2,Camel Walk ,312,359
248,3/23/1987,2,Golgi Apparatus ,300,359
249,3/23/1987,2,"Swing Low, Sweet Chariot ",114,359
250,4/24/1987,1,Alumni Blues > Letter to Jimmy Page > Alumni Blues,396,68
251,4/24/1987,1,Golgi Apparatus,345,68
252,4/24/1987,1,AC/DC Bag,450,68
253,4/24/1987,1,Possum,381,68
254,4/24/1987,1,Fluffhead,577,68
255,4/24/1987,1,You Enjoy Myself,583,68
256,4/24/1987,1,Dave's Energy Guide,214,68
257,4/24/1987,1,Punch Me in the Eye,364,68
258,4/24/1987,1,David Bowie,502,68
259,4/24/1987,1,Dear Mrs. Reagan,208,68
260,4/24/1987,1,Slave to the Traffic Light,359,68
261,4/24/1987,1,I Am Hydrogen > Who Do? We Do!,361,68
262,4/29/1987,1,She Caught the Katy and Left Me a Mule to Ride ,243,359
263,4/29/1987,1,Alumni Blues ,340,359
264,4/29/1987,3,Come On (Part One) ,318,359
265,4/29/1987,1,Letter to Jimmy Page ,62,359
266,4/29/1987,1,Alumni Blues ,340,359
267,4/29/1987,1,Golgi Apparatus ,322,359
268,4/29/1987,1,"Swing Low, Sweet Chariot ",152,359
269,4/29/1987,1,Fire ,265,359
270,4/29/1987,1,Skin It Back ,446,359
271,4/29/1987,1,Cities ,328,359
272,4/29/1987,1,Lushington ,368,359
273,4/29/1987,2,Dog Log ,271,359
274,4/29/1987,2,Melt the Guns ,503,359
275,4/29/1987,2,Dave's Energy Guide ,361,359
276,4/29/1987,2,Take the 'A' Train ,222,359
277,4/29/1987,2,Halley's Comet ,387,359
278,4/29/1987,2,Quinn the Eskimo ,418,359
279,4/29/1987,2,AC/DC Bag ,311,359
280,4/29/1987,3,Peaches en Regalia ,185,359
281,4/29/1987,3,Fluffhead ,534,359
282,4/29/1987,3,Good Times Bad Times ,327,359
283,4/29/1987,3,Anarchy ,51,359
284,4/29/1987,3,Makisupa Policeman ,450,359
285,4/29/1987,3,Run Like an Antelope ,543,359
286,4/29/1987,3,Boogie On Reggae Woman ,321,359
287,4/29/1987,3,Timber (Jerry) ,435,359
288,4/29/1987,3,Slave to the Traffic Light ,358,359
289,4/29/1987,3,Sparks ,153,359
290,4/29/1987,3,McGrupp and the Watchful Hosemasters ,449,359
291,4/29/1987,3,The Ballad of Curtis Loew ,303,359
292,4/29/1987,3,I Am Hydrogen ,113,359
293,4/29/1987,3,Who Do? We Do! ,135,359
294,5/11/1987,1,You Enjoy Myself,833,359
295,5/11/1987,1,Lushington,145,359
296,5/11/1987,1,Possum,422,359
297,5/11/1987,1,Slave to the Traffic Light,378,359
298,5/11/1987,1,Sneakin' Sally Through the Alley,339,359
299,5/11/1987,1,Clod,465,359
300,5/11/1987,1,Peaches en Regalia,209,359
301,5/11/1987,1,The Man Who Stepped Into Yesterday,140,359
302,5/11/1987,1,Avenu Malkenu,173,359
303,5/11/1987,1,The Man Who Stepped Into Yesterday,108,359
304,5/11/1987,1,Makisupa Policeman,576,359
305,5/11/1987,1,Ya Mar,447,359
306,5/20/1987,1,Wilson,311,591
307,5/20/1987,1,Run Like an Antelope,825,591
308,5/20/1987,1,Golgi Apparatus,292,591
309,5/20/1987,1,Back Porch Boogie Blues > Lushington,571,591
310,5/20/1987,1,Possum,588,591
311,5/20/1987,1,Harry Hood,533,591
312,5/20/1987,1,You Enjoy Myself,1065,591
313,5/20/1987,1,Alumni Blues,664,591
314,8/9/1987,1,Golgi Apparatus,319,359
315,8/9/1987,1,Slave to the Traffic Light,372,359
316,8/9/1987,1,La Grange,199,359
317,8/9/1987,1,Sneakin' Sally Through the Alley,404,359
318,8/9/1987,1,Timber (Jerry),286,359
319,8/9/1987,1,Good Times Bad Times,299,359
320,8/9/1987,1,Shaggy Dog,219,359
321,8/9/1987,1,Funky Bitch,300,359
322,8/9/1987,2,The Curtain With,675,359
323,8/9/1987,2,Halley's Comet,318,359
324,8/9/1987,2,The Sloth,135,359
325,8/9/1987,2,Light Up Or Leave Me Alone,496,359
326,8/9/1987,2,Skin It Back,283,359
327,8/10/1987,1,Alumni Blues > Letter to Jimmy Page > Alumni Blues,389,359
328,8/10/1987,1,Peaches en Regalia,203,359
329,8/10/1987,1,Golgi Apparatus,315,359
330,8/10/1987,1,Wilson,306,359
331,8/10/1987,1,Quinn the Eskimo,369,359
332,8/10/1987,1,Divided Sky,260,359
333,8/10/1987,1,Good Times Bad Times,300,359
334,8/10/1987,2,Fire,298,359
335,8/10/1987,2,AC/DC Bag,464,359
336,8/10/1987,2,Possum,518,359
337,8/10/1987,2,Fluffhead,572,359
338,8/10/1987,2,Fee,342,359
339,8/10/1987,2,The Curtain With,639,359
340,8/10/1987,2,I Know a Little,228,359
341,8/10/1987,2,Mustang Sally,429,359
342,8/10/1987,2,You Enjoy Myself,882,359
343,8/10/1987,2,La Grange,213,359
344,8/10/1987,3,Icculus,148,359
345,8/10/1987,3,David Bowie,956,359
346,8/10/1987,3,Jesus Just Left Chicago,440,359
347,8/10/1987,3,Whipping Post,629,359
348,8/10/1987,3,Anarchy,78,359
349,8/10/1987,3,Tush,204,359
350,8/10/1987,3,Dear Mrs. Reagan,200,359
351,8/21/1987,1,Dog Log,265,243
352,8/21/1987,1,Peaches en Regalia,194,243
353,8/21/1987,1,Divided Sky,290,243
354,8/21/1987,1,Funky Bitch,639,243
355,8/21/1987,1,Harry Hood,890,243
356,8/21/1987,1,Clod,369,243
357,8/21/1987,1,The Curtain With,952,243
358,8/21/1987,1,Light Up Or Leave Me Alone,642,243
359,8/21/1987,1,Shaggy Dog,234,243
360,8/21/1987,1,Wilson,408,243
361,8/21/1987,2,Harpua > Bundle of Joy > Harpua,591,243
362,8/21/1987,1,Camel Walk,314,243
363,8/21/1987,2,Mike's Song,1060,243
364,8/21/1987,2,Golgi Apparatus,273,243
365,8/21/1987,2,Sparks,373,243
366,8/21/1987,2,Flat Fee,172,243
367,8/21/1987,2,Fee,468,243
368,8/21/1987,2,Skin It Back > Low Rider > Back Porch Boogie Blues > The Sloth,1798,243
369,8/21/1987,3,Stir It Up > Makisupa Policeman,1019,243
370,8/21/1987,3,Big Black Furry Creature from Mars,340,243
371,8/21/1987,3,McGrupp and the Watchful Hosemasters,582,243
372,8/21/1987,3,David Bowie,994,243
373,8/21/1987,3,Sanity,389,243
374,8/21/1987,3,"Swing Low, Sweet Chariot",134,243
375,8/29/1987,1,Alumni Blues ,420,591
376,8/29/1987,1,Letter to Jimmy Page ,63,591
377,8/29/1987,3,Corinna ,264,591
378,8/29/1987,1,Alumni Blues ,145,591
379,8/29/1987,1,The Ballad of Curtis Loew ,285,591
380,8/29/1987,1,Sneakin' Sally Through the Alley ,495,591
381,8/29/1987,1,Makisupa Policeman ,693,591
382,8/29/1987,1,Big Black Furry Creature from Mars ,179,591
383,8/29/1987,1,Flat Fee ,163,591
384,8/29/1987,1,Lushington ,297,591
385,8/29/1987,1,Mustang Sally ,636,591
386,8/29/1987,1,Ya Mar ,540,591
387,8/29/1987,1,The Man Who Stepped Into Yesterday ,287,591
388,8/29/1987,1,Avenu Malkenu ,317,591
389,8/29/1987,1,The Man Who Stepped Into Yesterday ,94,591
390,8/29/1987,2,Clod ,283,591
391,8/29/1987,2,Slave to the Traffic Light ,386,591
392,8/29/1987,2,"Swing Low, Sweet Chariot ",153,591
393,8/29/1987,2,The Curtain With ,740,591
394,8/29/1987,1,Suzy Greenberg > Hold Your Head Up > Suzy Greenberg ,475,591
395,8/29/1987,2,McGrupp and the Watchful Hosemasters ,509,591
396,8/29/1987,2,Possum ,485,591
397,8/29/1987,2,Harry Hood ,860,591
398,8/29/1987,2,Timber (Jerry) ,585,591
399,8/29/1987,2,AC/DC Bag ,378,591
400,8/29/1987,2,Divided Sky ,276,591
401,8/29/1987,2,Harpua ,170,591
402,8/29/1987,2,Bundle of Joy ,152,591
403,8/29/1987,2,Harpua ,166,591
404,8/29/1987,3,La Grange ,194,591
405,8/29/1987,3,Mike's Song ,544,591
406,8/29/1987,3,I Am Hydrogen ,163,591
407,8/29/1987,3,Who Do? We Do! ,106,591
408,8/29/1987,3,Shaggy Dog ,200,591
409,8/29/1987,3,David Bowie ,980,591
410,8/29/1987,3,Jesus Just Left Chicago ,383,591
411,8/29/1987,E,She Caught the Katy and Left Me a Mule to Ride ,146,591
412,9/2/1987,1,AC/DC Bag ,321,241
413,9/2/1987,1,Fluffhead ,588,241
414,9/2/1987,1,Sneakin' Sally Through the Alley ,374,241
415,9/2/1987,1,Divided Sky ,284,241
416,9/2/1987,1,Wilson ,357,241
417,9/2/1987,1,Lushington ,118,241
418,9/2/1987,1,Possum ,431,241
419,9/2/1987,1,Big Black Furry Creature from Mars ,193,241
420,9/2/1987,1,Makisupa Policeman ,644,241
421,9/2/1987,1,Timber (Jerry) ,505,241
422,9/2/1987,1,Shaggy Dog ,216,241
423,9/2/1987,1,You Enjoy Myself ,318,241
424,9/21/1987,1,The Man Who Stepped Into Yesterday,195,359
425,9/21/1987,1,Avenu Malkenu,205,359
426,9/21/1987,1,The Man Who Stepped Into Yesterday,95,359
427,9/21/1987,1,Clod,296,359
428,9/21/1987,1,Slave to the Traffic Light,365,359
429,9/21/1987,1,Funky Bitch,295,359
430,9/21/1987,3,Fire,275,359
431,9/21/1987,1,Wilson,329,359
432,9/21/1987,1,Dear Mrs. Reagan,209,359
433,9/21/1987,1,Golgi Apparatus,308,359
434,9/21/1987,1,AC/DC Bag,429,359
435,9/21/1987,1,Possum,320,359
436,9/21/1987,2,You Enjoy Myself,864,359
437,9/21/1987,2,The Curtain With,758,359
438,9/21/1987,2,Big Black Furry Creature from Mars,176,359
439,9/21/1987,2,Suzy Greenberg,369,359
440,9/21/1987,2,Alumni Blues,293,359
441,9/21/1987,2,Letter to Jimmy Page,65,359
442,9/21/1987,2,Alumni Blues,41,359
443,9/21/1987,3,Happy Birthday to You,61,359
444,9/21/1987,3,Good Times Bad Times,288,359
445,9/21/1987,3,Rocky Top,193,359
446,9/21/1987,3,Sneakin' Sally Through the Alley,341,359
447,9/21/1987,3,Fee,369,359
448,9/21/1987,3,Divided Sky,293,359
449,9/21/1987,3,Dog Log,278,359
450,9/21/1987,3,The Ballad of Curtis Loew,312,359
451,9/21/1987,3,Run Like an Antelope,797,359
452,9/21/1987,3,Makisupa Policeman,655,359
453,9/21/1987,3,Flat Fee,186,359
454,9/21/1987,3,Terrapin,196,359
455,9/21/1987,3,La Grange,169,359
456,9/21/1987,3,Fluffhead,236,359
457,10/14/1987,1,Peaches en Regalia ,123,241
458,10/14/1987,1,Take the 'A' Train ,204,241
459,10/14/1987,1,You Enjoy Myself ,681,241
460,10/14/1987,1,Golgi Apparatus ,291,241
461,10/14/1987,1,Slave to the Traffic Light ,352,241
462,10/14/1987,1,The Chase ,71,241
463,10/14/1987,1,Fluffhead ,501,241
464,10/14/1987,1,Dave's Energy Guide ,101,241
465,10/14/1987,1,Possum ,345,241
466,10/14/1987,2,David Bowie ,699,241
467,10/14/1987,2,AC/DC Bag ,351,241
468,10/14/1987,2,Divided Sky ,230,241
469,10/14/1987,2,McGrupp and the Watchful Hosemasters ,228,241
470,10/14/1987,2,Clod ,402,241
471,10/14/1987,2,Makisupa Policeman ,202,241
472,10/31/1987,1,Jam,486,463
473,10/31/1987,1,Whipping Post,734,463
474,10/31/1987,1,Sneakin' Sally Through the Alley,390,463
475,10/31/1987,1,Back Porch Boogie Blues,259,463
476,10/31/1987,1,Halley's Comet,415,463
477,10/31/1987,1,Light Up Or Leave Me Alone,221,463
478,10/31/1987,1,Love You,199,463
479,10/31/1987,1,AC/DC Bag,451,463
480,10/31/1987,1,Possum,579,463
481,10/31/1987,1,You Enjoy Myself,899,463
482,10/31/1987,1,Big Black Furry Creature from Mars,172,463
483,10/31/1987,2,The Man Who Stepped Into Yesterday,137,463
484,10/31/1987,2,Avenu Malkenu,208,463
485,10/31/1987,2,The Man Who Stepped Into Yesterday,78,463
486,10/31/1987,2,Peaches en Regalia,252,463
487,10/31/1987,2,Take the 'A' Train,302,463
488,10/31/1987,2,Timber (Jerry),502,463
489,10/31/1987,2,The Chase,72,463
490,10/31/1987,2,I Am Hydrogen,157,463
491,10/31/1987,2,Who Do? We Do!,181,463
492,10/31/1987,2,Fee,325,463
493,10/31/1987,2,Divided Sky,245,463
494,10/31/1987,2,McGrupp and the Watchful Hosemasters,314,463
495,10/31/1987,2,Who Do? We Do!,181,463
496,10/31/1987,2,Clod,335,463
497,10/31/1987,2,Alumni Blues,272,463
498,10/31/1987,2,Letter to Jimmy Page,60,463
499,10/31/1987,2,Alumni Blues,31,463
500,10/31/1987,2,Fluffhead,585,463
501,10/31/1987,2,David Bowie,754,463
502,11/18/1987,1,Slave to the Traffic Light,411,241
503,11/18/1987,1,The Man Who Stepped Into Yesterday,193,241
504,11/18/1987,1,Avenu Malkenu,202,241
505,11/18/1987,1,The Man Who Stepped Into Yesterday,101,241
506,11/18/1987,1,Flat Fee,198,241
507,11/18/1987,1,Wilson,264,241
508,11/18/1987,1,Peaches en Regalia,206,241
509,11/18/1987,1,Take the 'A' Train,327,241
510,11/18/1987,1,Golgi Apparatus,302,241
511,11/18/1987,1,Divided Sky,270,241
512,11/18/1987,1,Alumni Blues,293,241
513,11/18/1987,1,Letter to Jimmy Page,32,241
514,11/18/1987,1,Alumni Blues,35,241
515,11/18/1987,1,Good Times Bad Times,370,241
516,11/18/1987,2,I Didn't Know,210,241
517,11/18/1987,2,You Enjoy Myself,811,241
518,11/18/1987,2,Fluffhead,896,241
519,11/18/1987,2,AC/DC Bag,77,241
520,11/19/1987,1,McGrupp and the Watchful Hosemasters ,594,241
521,11/19/1987,1,Sparks ,193,241
522,11/19/1987,1,Funky Bitch ,377,241
523,11/19/1987,2,Alumni Blues > Letter to Jimmy Page > Alumni Blues ,354,241
524,11/19/1987,1,You Enjoy Myself ,799,241
525,11/19/1987,1,Sneakin' Sally Through the Alley ,337,241
526,11/19/1987,1,Harry Hood ,701,241
527,11/19/1987,1,Fire ,281,241
528,11/19/1987,2,Timber (Jerry) ,478,241
529,11/19/1987,2,Fluffhead ,983,241
530,11/19/1987,2,I Didn't Know ,167,241
531,11/19/1987,2,Fee ,314,241
532,11/19/1987,2,Corinna ,283,241
533,11/19/1987,3,Jam ,77,241
534,11/19/1987,3,Suzy Greenberg ,330,241
535,11/19/1987,3,Possum ,317,241
536,11/19/1987,3,Divided Sky ,256,241
537,11/19/1987,3,Big Black Furry Creature from Mars ,197,241
538,11/19/1987,3,Dinner and a Movie ,465,241
539,11/19/1987,3,The Ballad of Curtis Loew ,313,241
540,11/19/1987,3,Whipping Post ,853,241
541,11/19/1987,3,Harpua ,412,241
542,11/19/1987,3,Take the 'A' Train ,333,241
543,11/19/1987,3,Camel Walk ,292,241
544,11/19/1987,3,La Grange ,323,241
545,11/19/1987,3,Bike ,241,241
546,11/19/1987,3,Slave to the Traffic Light ,410,241
547,1/27/1988,1,AC/DC Bag > Possum ,724,201
548,1/27/1988,1,Funky Bitch ,279,201
549,1/27/1988,1,Mustang Sally ,403,201
550,1/27/1988,1,Alumni Blues > Letter to Jimmy Page > Alumni Blues ,238,201
551,1/27/1988,1,Jesus Just Left Chicago ,446,201
552,1/27/1988,1,Sneakin' Sally Through the Alley ,355,201
553,1/27/1988,1,Take the 'A' Train ,257,201
554,1/27/1988,1,Good Times Bad Times ,339,201
555,1/27/1988,2,Wilson ,400,201
556,1/27/1988,2,Slave to the Traffic Light ,515,201
557,1/27/1988,2,Corinna ,294,201
558,1/27/1988,2,Fire ,392,201
559,1/27/1988,2,Fluffhead ,653,201
